id,new_name,old_name,description,family_id
126,Crabid,ArmyCrab,Attacks in a group & cuts up its prey with its claws,6
127,Hell hornet,MadHornet,Paralyzes its prey with its sting,6
128,HornBeet,HornBeet,Charges its prey with its big horn,6
129,Armoured scorpion,Armorpion,Unprotected joints are its weakness,6
130,Digster,Digster,Digs caves to live in a dark humid home,6
131,Picksy,Pixy,Loves to play pranks with its magic spells,7
132,Archdemon,ArcDemon,Too fat to fly but its strength is incredible,7
133,Silvapithecus,AgDevil,Very quick witted & cunning,7
134,Imp,Demonite,"Smart but, lacks the power to cast big spells",7
135,Eyelasher,DarkEye,Catches its prey with its tentacles,7
136,Winky,EyeBall,Hunts with its large eye & fast two legs,7
137,Skullrider,SkulRider,Revives dead beasts to use as slaves,7
138,Sculptrice,EvilBeast,Trained hard to attain its evil strength,7
139,Jinkster,1EyeClown,Uses its wand to cast evil spells,7
140,Gremlin,Gremlin,Mischievous & likes to play tricks with traps,7
141,Madusa,MedusaEye,A deadly ball of snakes with an eye in the center,7
142,Hyperanemon,Lionex,A natural born evil fighter,7
143,Moosifer,GoatHorn,A powerful monster with the horns & legs of a goat,7
144,Orc,Orc,Its dense pelt acts as natural armor,7
145,Ogre,Ogre,Its flail has a metal ball that's bigger than a man,7
146,Grim keeper,GateGuard,Uses a scythe as tall as its own towering height,7
147,Prickly prankster,ChopClown,Has achieved the utmost limit of swiftness,7
148,Thwarthog,Grendal,"Not too clever, but uses its weapons well",7
149,Blackmar,Akubar,Combined evil power with superhuman strength,7
150,Knight aberrant,MadKnight,Covered with armor that is never removed,7
151,Gigantes,Gigantes,"The biggest in the devil family, but not very smart",7
152,Sintaur,Centasaur,A hybrid devil of man & beast,7
153,Harmour,EvilArmor,Its real identity underneath the armor is unknown,7
154,Jamirus,Jamirus,A hybrid devil of an eagle & a lion,7
155,Dhuran,Durran,A strong all-round natural born fighter.,7
156,Ghost,Spooky,Its hobby is to scare people,8
157,Skelegon,Skullgon,A dragon that's risen from the dead,8
158,Putrefido,Putrepup,It's fearless since it doesn't feel any pain,8
159,RotRaven,RotRaven,Dozes all day in its half rotted body,8
160,Mummy,Mummy,Its body is filled with herbs to prevent its decay,8
161,DarkCrab,DarkCrab,Its shell resembles a human face,8
162,Skeleton soldier,DeadNite,"Knight revived as a zombie, who never tires",8
163,Shadow,Shadow,Real identity is unknown due to its shadow-like body,8
164,Walking corpse,Hork,Its acidic saliva will dissolve anything,8
165,Mudslinger,Mudron,A swamp mud infested spirit of the dead,8
166,Will-o'-the-whips,NiteWhip,Flies in the air leaving a streak of light,8
167,Soulspawn,MadSpirit,Lost spirits fused together,8
168,Gustbluster,WindMerge,"Strangely, there is nothing under its garment",8
169,Mean spirit,Reaper,Guides dead spirits to the underworld,8
170,Bone baron,DeadNoble,Rides on a horse & attacks enemies with its lance,8
171,Wight king,WhiteKing,Has retained its high INT from when it was alive,8
172,Marrow escapee,BoneSlave,Resurrected as a zombie to serve hard labor,8
173,Skeleton swordsman,Skeletor,Attacks with a sword in each of its 6 hands,8
174,Demon-at-arms,Servant,"Created from evil powers, it has a high INT",8
175,Float-o-copier,Copycat,Can disguise as any creature & mimic any move,8
176,Goodybag,JewelBag,Likes to eat things that are precious & shiny,9
177,Wraithwand,EvilWand,An evil spirit possessing a wizard's wand,9
178,Wax murderer,MadCandle,Its candle will remain lit until it dies,9
179,CoilBird,CoilBird,Emits an eerie noise,9
180,Teaky mask,Facer,An evil spirit has possessed this wooden mask,9
181,Burr baby,SpikyBoy,Explodes when angered,9
182,Devil glass,MadMirror,Absorbs anything that reflects on its mirror,9
183,Restless armour,RogueNite,Life was brought to this armor & it roams for prey,9
184,Muddy hand,Goopi,Grabs and paralyzes any prey that passes,9
185,Pocus poppet,Voodoll,A clay doll brought to life,9
186,Metal dragon,MetalDrak,A dragon constructed from metal,9
187,Balzack,Balzak,A creature created to be the strongest monster,9
188,Erazor blade,SabreMan,Fashioned with so much passion that it came to life,9
189,Malevolantern,CurseLamp,Its been said that there is an evil genie in the lamp,9
190,Killing machine,Roboster,Last surviving war robot made in an ancient time,9
191,Urnexpected,EvilPot,Lurks in a pot to hide its identity,9
192,Cumaulus,Gismo,Life was brought to this ball of energy,9
193,Magmalice,LavaMan,It's composed of an energy core & magma,9
194,Firn fiend,IceMan,It's composed of an energy core & ice,9
195,Mimic,Mimic,Attacks anyone who tries to steal its treasure,9
196,Mud mannequin,MudDoll,A kneaded dried clay doll that came to life,9
197,Golem,Golem,A stack of rock bricks that came to life,9
198,Living statue,StoneMan,A statue made from rock that came to life,9
199,Rockbomb,BombCrag,Usually dormant & looks like a normal rock,9
200,Balhib,GoldGolem,Made out of an elastic & durable metal,9
201,Dragonlord,DracoLord (Human),Tried to unite the monsters to rule the world,10
202,Dragonlord (Dragon),DracoLord (Dragon),This is the true identity of DracoLord,10
203,Hargon,Hargon,The one who planned to revive the Destructor,10
204,Malroth,Sidoh,"An evil dragon lord, ruler of all destruction",10
205,Baramos,Baramos,This evil lord controls all monsters,10
206,Zoma,Zoma,The source of all evil,10
207,Psaro the Manslayer,Pizzaro,Attained its power from the pearl of evolution,10
208,Estark,Esterk,Exists beyond the boundries of time and space,10
209,Nimzo1,Mirudraas1,An evil lord who tried to rule the human world,10
210,Nimzo2,Mirudraas2,This is the true identity of Mirudrass,10
211,Murdaw,Mudou,This evil lord controls all monsters,10
212,Mortamor1,DeathMore 1,An evil lord that lives between reality & fantasy,10
213,Mortamor2,DeathMore 2,Shed off its disguise to show off its strength,10
214,Mortamor3,DeathMore 3,Only a true warrior can reveal its real identity,10
215,Nokturnus,Darkdrium,The master of destruction & carnage,10
