id,name_ja,description_ja
41,コアトル,であった敵に巻き付いて太い胴で締め上げる。
42,やまたのおろち,5つの頭でそれぞれが別のことを考えられる。
43,バトルレックス,強力な威力を持つ大きなオノを振り回す。
44,スカイドラゴン,魔力で空中をふわふわとただよう。
45,しんりゅう,倒すと願い事をかなえてくれるといわれている。
46,ベロゴン,動きはのろいが巨大な舌を手足のように器用に使う。
47,アルミラージ,追い詰められると額にはえた鋭いツノで突進する。
48,キャットフライ,暗くても見える目を持ち夜空を飛んで獲物を取る。
49,ファーラット,フワフワした体毛で体中が包まれている。
50,ミノーン,枝で作ったミノの中で一生を過ごす。
51,ストロングアニマル,大きな口で捕らえた獲物をひとのみにしてしまう。
52,スカルガルー,戦う時はいつも手に持つ骸骨を投げてくる。
53,かまいたち,足を回して竜巻を作り体にまとってみを守る。
54,アントベア,えさを取る時も戦う時も長い舌が使われる。
55,スーパーテンツク,日ごろ鍛えた踊りを出会った旅人に披露する。
56,アイアンタートル,硬い甲羅に閉じこもって鋭いトゲで体当たりをする。
57,ももんじゃ,歩いている人の後をジャンプしながらついてくる。
58,おおきづち,生まれた時から自分より大きな木槌を持っている。
59,グリズリー,まるたのように太い腕でであった獲物を締め付ける。
60,イエティ,全身が体毛に包まれていて寒さに強い。
61,キラースコップ,身長の何倍もの長さのス穴をスコップで掘る。
62,フェアリーラット,大きな耳をはばたかせて空を飛んで移動する。
63,ユニコーン,ひたいに生えた一本の角をせんじると薬にもなる。
64,ゴートドン,突進と太くねじれた角で敵を突き飛ばす。
65,キラーエイプ,ボスのもとで数十頭が群れを作って行動する。
66,パオーム,長く伸びた牙から高価な工芸品が作られる。
67,キングレオ,4本の腕と4本の足をそれぞれ器用に使いこなす。
68,ダークホーン,背中にはえる金の毛皮は高価な値段で取引される
69,キラーパンサー,赤い鬣がトレードマーク。すばやい動きで翻弄する。
70,ビッグアイ,いつもぼーっと空を見つめて考え事をしている。
71,ピッキー,羽は退化して空は飛べないが2本の足で素早く走る。
72,キメラ,タカの頭と翼にヘビの胴体をあわせもつ。
73,あばれうしどり,獲物を捕らえて食べるとすぐに横になって寝てしまう。
74,はなカワセミ,花びらのような羽に集まった虫を捕まえて食べる。
75,ダックカイト,手足の間の薄いヒフを広げて相手をいかくする。
76,デッドペッカー,集団で獲物を遅いくちばしで肉を食いちぎる。
77,デスフラッター,足につかんだがいこつを空から落として攻撃する。
78,ミストウイング,霧のように実体がなく暗闇ではあわく発光する。
79,ドラキー,暗闇を好み牙で作った傷口から血を吸う。
80,おおにわとり,筋肉が発達していて空を飛べる。肉はおいしい。
81,ガンコどり,頭が硬く1度決めたらてこでも動かない。
82,モーザ,羽は退化して飛べないが腕の一撃は強烈。
83,キラーグース,冬になると群れを作って別の土地に移動する。
84,ヘルコンドル,大きな翼に鋭いツメとくちばしを持つ空の王者。
85,ホークブリザード,口から吐く吹雪で獲物を凍らせて捕らえる。
86,ひくいどり,口から吐く炎でこんがりと焼いて食べる。
87,サンダーバード,体を覆う雷雲を使い雷を操る。
88,ロックちょう,ムチのような足をしならせて鋭いツメで突き刺す。
89,ファンキーバード,踊りながら出す鳴き声は歌のように聞こえる。
90,にじくじゃく,大きな翼と4本の足で空も自由に行動できる。
91,マッドプラント,甘いにおいの樹液を出して集まった虫を食べる。
92,かりゅうそう,葉をむしって口にすると炎を吐くほど辛い。
93,はなまどう,数百年生きていて豊富な知識を持っている。
94,ふゆうじゅ,ガスをためて空に浮かび羽をはばたかせて移動する。
95,サボテンボール,体の中に水分をためて砂漠の中でも活動できる。
96,ガップリン,獲物を食べてからだの中に魔力を蓄える。
97,マタンゴ,獲物の体に胞子を植え付け新しい仲間を増やす。
98,コハクそう,樹液が固まって岩の様に硬くなった。
99,きりかぶおばけ,根っこを獲物に突き刺して体液を吸い取る。
100,オニオーン,繁殖地を見つけると根っこを下ろして動かなくなる。
101,ダンスキャロット,バランスが悪く歩く姿が踊っている様に見える。
102,ヘルボックル,数百年生きている気に宿る精霊の一種。
103,じんめんじゅ,地面の中の魔力を根っこで吸い上げためている。
104,マンドラゴラ,根っこを煎じて飲むと万病に効くといわれている。
105,ビーンファイター,大きく育つと種を植える場所を探して歩き出す。
106,エビルシード,別の生き物に触手を絡ませて移動する。
107,マンイーター,捕らえた獲物に消化液を吐きかけて養分を吸う。
108,ひとくいそう,3つの蕾が獲物に食いつきひきちぎって食べてしまう。
109,ローズバトラー,トゲのついたツルを獲物に絡ませて動けなくする。
110,わたぼう,いたずら好きでいろんな場所に現れる不思議な魔物。
111,おおなめくじ,分泌される粘液には消化作用がある。
112,キャタピラー,成長してもさなぎにならずイモムシのまますごす。
113,せみもぐら,一生土の中ですごすため光に弱い。
114,じんめんちょう,りんぷんには人を惑わす作用がある。
115,とうちゅうかそう,養分を吸うと魔力を出す草が体に生えている。
116,おおみみず,目は退化してよく見えないが匂いで獲物を探す。
117,リップス,長い舌でなめられると身動きが取れなくなる。
118,はさみくわがた,硬い殻に覆われていて攻撃をかわす。
119,ぐんたいアリ,小さい体ながらもあごで締め付ける力は強力。
120,キリキリバッタ,飛ぶ時の羽音からキリキリバッタの名がついた。
121,テールイーター,しっぽの様に見える口で獲物に吸い付く。
122,よろいむかで,硬い殻に覆われているが裏側は柔らかい。
123,メーダ,触手にはそれぞれ役割が決まっている。
124,デスファレーナ,大きな羽をはばたかせると強風が巻き起こる。
125,ドロル,両側に突き出た目で広い範囲を見渡せる。
126,ぐんたいガニ,集団で獲物を遅い2本のはさみで切り刻む。
127,ヘルホーネット,腹の先に突き出たハリで獲物をさして麻痺させる。
128,ホーンビードル,突進して大きなツノを相手に突き刺しひっくり返す。
129,さそりアーマー,鎧のような殻のない関節部分が弱点。
130,ダンジョンえび,暗く湿った場所を好み穴を掘るため名前がついた。
131,ピクシー,魔法で人にいたずらするのが大好きな子悪魔。
132,アークデーモン,巨体のため飛べないが破壊力は軍を抜く。
133,シルバーデビル,すばしっこくずるがしこい魔王バズズのけんぞく。
134,ベビーサタン,頭はよいが大きな魔法を使うような魔力はない。
135,ダークアイ,天井で待ち通った獲物を触手で捕らえる。
136,おおめだま,大きな目と2本の足で獲物を探して攻撃する。
137,スカルライダー,死んだ魔物を生き返らせて使っているので疲れ知らず。
138,ヘルビースト,自分の体を改造して力を手にした悪魔。
139,ひとつめピエロ,手に持つ杖で魔力を補うため魔法は得意。
140,グレムリン,いたずら好きで特に機械仕掛けのものを好む。
141,メドーサボール,無数のヘビが絡まりあった中央に目がある。
142,ライオネック,戦うために生まれてきた上級の悪魔。
143,アンクルホーン,羊の角と後ろ足をを使いかいりきを誇る。
144,オーク,密集したごうもうは防御力に優れている。
145,オーガー,人より大きい鉄球を振りまわして戦う。
146,じごくのもんばん,身長ほどのカマを体を一部の様に扱う。
147,きりさきピエロ,素早さを追求し極限にまで高めた。
148,グレンデル,知能はそれほど高くないが盾と剣を使いこなす。
149,アクバー,高い魔力とかいりきをかねそろえたエリート。
150,あくまのきし,全身を鎧で覆い決して脱ぐことはない。
151,ギガンテス,魔物の中で最も大きくかいりきを持つが頭は悪い。
152,ずしおうまる,人の姿と獣の姿を半分ずつ持つ悪魔。
153,デビルアーマー,一生鎧のままで中身は誰も知らない。
154,ジャミラス,鳥の姿と獣の姿を半分ずつ持っている悪魔。
155,デュラン,すべてに優れ戦うことが生きる目的になっている悪魔。
156,ゴースト,出会った人を驚かすことが大好きな幽霊。
157,スカルゴン,数百年生きたドラゴンのほねがゾンビになった。
158,アニマルゾンビ,痛みを感じず強敵にもひるむことなく立ち向かう。
159,やたがらす,体が半分腐ってるのでぼーっとしていることが多い。
160,マミー,体の中には薬草がつまっているので腐らない。
161,ダーククラブ,人の顔の様に見える甲羅を持つカニ。
162,しりょうのきし,疲れを知らず戦いつづけるよみがえった剣士。
163,シャドー,影の様で実体がなく正体はさだかではない。
164,くさったしたい,だ液にはあらゆる物を腐食させる力がある。
165,マッドロン,沼の中の泥のかたまりに魂が宿った。
166,ナイトウイプス,空中を飛び回り光のおびを残す。
167,エビルスピリッツ,多くの迷える魂が集まった集合体。
168,ウインドマージ,体を覆う布を取り去ると中には何も残らない。
169,しにがみ,死んだ人の魂を導くといわれる。
170,しにがみきぞく,ウマにまたがり手に持つヤリでの突撃を得意とする。
171,ワイトキング,生きていた時の高い知能をそのまま残したゾンビ。
172,ボーンプリズナー,労働力の確保のためによみがえらさせたゾンビ。
173,がいこつけんし,6本の腕から繰り出される剣で敵をほんろうする。
174,まおうのつかい,悪魔の体で作られたため能力がかなり高い。
175,マネマネ,人の姿や動きをまねする珍しい特技を持つ。
176,おどるほうせき,なんでも高価で光るものを腹の中に集めている。
177,エビルワンド,魔法使いが使っていた杖に生命が宿った。
178,おばけキャンドル,頭の上で燃える炎は死ぬまで消えることがない。
179,ネジまきどり,ギリギリとネジを巻く様な音が体の中から聞こえる。
180,トーテムキラー,魔力をおびた木を使って作られたので動き出した。
181,とげぼうず,頭に血が上ると火薬に火がつき爆発する。
182,あくまのカガミ,鏡に移ったものの姿を写し取る特技を持つ。
183,さまようよろい,鎧に意の津が宿り獲物を求めてさまよいだした。
184,マドハンド,通りかかった獲物の足をつかんで動けなくする。
185,ミステリードール,土をこねて焼いて作られた人形が動き出した。
186,メタルドラゴン,ドラゴンをモデルにして金属を使い作られた。
187,バルザック,究極の生物を目標に作られた。
188,ひとくいサーベル,精魂込めて作られたため生命が宿った。
189,のろいのランプ,願い事を叶える魔神が入っているともいわれている。
190,キラーマシン,大昔に作られた戦闘機械の生き残り。
191,あくまのつぼ,壺の中に隠れていて正体をあらわさない。
192,ギズモ,エネルギーの塊に生命が宿った。
193,ようがんまじん,エネルギー体を核に溶岩が集まってできた。
194,ひょうがまじん,エネルギー体を核に氷が集まってできた。
195,ミミック,宝物を取ろうとした人に食いついて攻撃する。
196,どろにんぎょう,泥をこねて乾燥させた人形が動き出した。
197,ゴーレム,岩を削って作られた人形が動き出した。
198,うごくせきぞう,石を切り出してくみ上げた人形が動き出した。
199,ばくだんいわ,普段は眠っていて普通の岩と見分けがつかない。
200,ゴールデンゴーレム,弾力性と強度のある金属でできたゴーレム。
201,竜王,魔物を統率し世界征服を目指した。
202,竜王（DRAGON）,かりそめの人の姿を捨てた竜王の真の姿。
203,ハーゴン,破壊神の復活を企てた悪魔神官。
204,シドー,すべての破壊をつかさどる竜の真の姿の邪心。
205,バラモス,あらゆる魔物の頂点に君臨する大魔王。
206,ゾーマ,大魔王さえも手ごまとして操る悪の根源。
207,デスピサロ,進化の秘宝を使って力を手に入れた魔族の男。
208,エスターク,時間と次元に影響されず存在する邪神。
209,ミルドラース,人間界の支配を目論んだ魔界の魔王。
210,ミルドラース（へんしん）,かりそめの人の姿を捨てミルドラースの真の姿。
211,ムドー,あらゆる魔物の頂点に君臨する大魔王。
212,デスタムーア,現実と夢の2つの世界のはざまに住む魔王。
213,デスタムーア（へんしん）,かりそめの人の姿を捨てて力の一部を見せた姿。
214,デスタムーア（さいしゅう）,真の勇者が見ることの出来るデスタムーアの真の姿。
215,ダークドレアム,魔王の強さを凌駕する破壊と殺戮の神。
