id,category_ja,family_ja,name_ja,description_ja
76,補助系,ザキ系,やみのはどう,てきをおおはばによわくする
77,補助系,マホトラ系,マホトラ,てきのMPをすいとる
78,補助系,マホトラ系,ふしぎなおどり,おどっててきのMPをへらす
79,補助系,マホトラ系,マホトラおどり,おどっててきのMPをすいとる
80,補助系,マホトーン系,マホトーン,（全）てきのまほうをふうじこめる
81,補助系,メダパニ系,メダパニ,てきをこんらんさせる
82,補助系,メダパニ系,メダパニダンス,（全）てきをこんらんさせる
83,補助系,ルカニ系,ルカニ,てきのしゅびりょくダウン
84,補助系,ルカニ系,ルカナン,（全）てきのしゅびりょくダウン
85,補助系,ルカニ系,ひゃくれつなめ,なめまわしてしゅびりょくダウン
86,補助系,呪い系,のろいのことば,（全）てきをのろうことができる
87,補助系,ボミエ系,ボミエ,てきのすばやさダウン
88,補助系,ボミエ系,ボミオス,（全）てきのすばやさダウン
89,補助系,マヒ系,やけつくいき,（全）てきをマヒさせる
90,補助系,毒系,どくのいき,（全）てきをどくでおかす
91,補助系,毒系,もうどくのいき,（全）てきをもうどくでおかす
92,補助系,踊り封じ系,おどりふうじ,（全）てきのおどりをふうじこめる
93,補助系,息封じ系,くちをふさぐ,てきのいきをふうじこめる
94,補助系,休み系,あしばらい,てきのあしをはらってころばせる
95,補助系,休み系,すいめんげり,（全）てきをぜんいんころばせる
96,補助系,休み系,ぱふぱふ,やわらかくてとてもきもちがいい
97,補助系,休み系,おたけび,（全）すごいおおごえでてきをとめる
98,補助系,休み系,さそうおどり,ゆかいなおどりでてきをさそう
99,補助系,休み系,なめまわし,なめまわしてうごきをとめる
100,補助系,防御系,マジックバリア,（全）まほうにたいしてつよくなる
101,補助系,防御系,スカラ,みかたのしゅびりょくアップ
102,補助系,防御系,スクルト,（全）みかたしゅびりょくアップ
103,補助系,防御系,マホターン,まほうをいちどだけはねかえす
104,補助系,防御系,マホカンタ,うけたまほうをはねかえす
105,補助系,防御系,みかわしきゃく,ステップをふんでみがるになる
106,補助系,防御系,フバーハ,（全）いきのダメージをへらす
107,補助系,防御系,やいばのぼうぎょ,はんげきするべくみがまえる
108,補助系,防御系,みがわり,なかまへのこうげきをうけとめる
109,補助系,防御系,におうだち,こうげきをすべてうける
110,補助系,防御系,おいかぜ,うけたいきをはねかえす
111,補助系,防御系,きょうふう,（全）いきをはねかえす
112,補助系,防御系,すべてをすいこむ,（全）いきをすべてすいこむ
113,補助系,防御系,だいぼうぎょ,あらゆるこうげきにそなえる
114,補助系,防御系,うけながし,こうげきをうけながす
115,補助系,防御系,アストロン,（全）みかたぜんいんをてつにかえる
116,補助系,補助系,ピオラ,みかたのすばやさアップ
117,補助系,補助系,ピオリム,（全）みかたすばやさアップ
118,補助系,補助系,マホキテ,うけたぶんのMPをきゅうしゅう
119,補助系,補助系,バイキルト,あたえるダメージを2ばいにする
120,補助系,補助系,パルプンテ,なにがおこるかわからない
121,補助系,補助系,モシャス,てきのすがたにへんしんする
122,補助系,補助系,ちからをためる,つぎのこうげきでだいダメージ
123,補助系,補助系,いきをすいこむ,（全）いきをすべてすいこむ
124,補助系,補助系,せいしんとういつ,2かいれんぞくでこうげき
125,補助系,補助系,きあいをためる,ターンのさいごにだいダメージ
126,補助系,補助系,まねまね,うけたこうげきをまねする
127,補助系,補助系,いてつくはどう,（全）まほうのこうかをけす
128,補助系,補助系,くろいきり,まほうをつかえないきりをだす
129,補助系,補助系,たかくとびあがる,とびあがりつぎのターンこうげき
130,補助系,補助系,ドラゴラム,りゅうのすがたにへんしん
131,補助系,召喚獣,タッツウしょうかん,タッツウをよびだしたたかわせる
132,補助系,召喚獣,デアゴしょうかん,デアゴをよびだしたたかわせる
133,補助系,召喚獣,サムシンしょうかん,サムシンをよびだしたたかわせる
134,補助系,召喚獣,バズウしょうかん,バズウをよびだしたたかわせる
135,回復呪文,HP回復系,ホイミ,HPを30～40かいふくする
136,回復呪文,HP回復系,ベホイミ,HPを75～90かいふくする
137,回復呪文,HP回復系,ベホマ,HPをさいだいまでかいふくする
138,回復呪文,HP回復系,ベホマラー,（全）HPを90～120かいふくする
139,回復呪文,HP回復系,ベホマズン,（全）HPをさいだいまでかいふくする
140,回復呪文,HP回復系,ハッスルダンス,（全）HPを70～80かいふくする
141,回復呪文,HP回復系,めいそう,めいそうしてHPを500かいふくする
142,回復呪文,異常回復系,ひかりのはどう,（全）どんなじょうたいもかいふくする
143,回復呪文,異常回復系,キアリー,どくをからだからけしさる
144,回復呪文,異常回復系,キアラル,なかまのこんらんをしずめる
145,回復呪文,異常回復系,シャナク,のろいをからだからけしさる
146,回復呪文,異常回復系,キアリク,マヒやねむりをさます
147,回復呪文,蘇生系,メガザル,（全）いのちとひきかえにふっかつ
148,回復呪文,蘇生系,メガザルダンス,（全）ふっかつさせる
149,回復呪文,蘇生系,ザオラル,しぼうからふっかつさせる
150,回復呪文,蘇生系,ザオリク,しぼうからふっかつさせる
151,回復呪文,蘇生系,せいれいのうた,（全）ふっかつさせる
152,補助系,地図系,くちぶえ,まものをひきよせる
153,補助系,地図系,トラマナ,ちけいからダメージをうけなくなる
154,補助系,地図系,レミラーマ,まわりのちけいがみられる
